lon,lat,depth,slope,distance_to_shore,shallow_mask,rain_mean,rain_std,extreme_rain,wind_mean,wind_std,chl_mean,chl_std,turb_mean,turb_std,cyclone,wave_mean,wave_std,sal_mean,sal_std,sal_shock_days,current_mean,extreme_wave_days,sst_mean,sst_var,heat_stress_freq,dist_to_known_cluster_km,site_prior_score,dist_to_core_zone_anchor_km,policy_core_zone_exclusion,dist_to_invasion_sensitive_km,policy_invasion_risk_flag,policy_go2005_review_required,label
79.29688026680586,9.328384475837252,1.5723377,0.12157865,993.6003,1.0,0.08951718,0.12522586,4.0,5.488249,1.8821713,2.2086024,0.6749842,724.5442,1208.9884,9.947075,0.6318011,0.1675405,32.814835,2.6101394,0.0,0.58718115,0.0,28.995117,1.9740694,0.0,4.804930280456247,0.725910401733424,11.71001135545845,0,11.71001135545845,0,1,1
79.31484657248825,9.328384475837252,0.5921218,0.08875568,993.59125,1.0,0.08951718,0.12522586,4.0,5.488249,1.8821713,2.640304,0.74389356,1035.2772,1210.4154,8.486095,0.6214994,0.16402392,32.130325,2.072164,0.0,0.5494929,0.0,29.073135,2.0015738,0.0,4.4712622231460655,0.7422388790469636,12.945614382317771,0,12.945614382317771,0,1,1
79.33281287817064,9.328384475837252,2.7405472,0.1401256,1400.4163,1.0,0.08951718,0.12522586,4.0,5.488249,1.8821713,2.527068,0.7290245,776.25214,1550.6627,5.688519,0.6160722,0.17702456,30.498203,0.7894318,0.0,0.45963007,0.0,29.259157,2.0671544,243.0,4.96881169810864,0.7180226868081617,14.347354886527995,0,14.347354886527995,0,1,1
79.28789711396466,9.319401322996058,0.5317188,0.09877356,986.9224,1.0,0.08951718,0.12522586,4.0,5.488249,1.8821713,1.9927516,0.6405296,1115.582,1359.0612,14.165915,0.63740546,0.17033027,32.814835,2.6101394,0.0,0.58718115,0.0,28.995117,1.9740694,562.0,4.434916698357081,0.744039530458514,10.33244830055327,0,10.33244830055327,0,1,1
79.33281287817064,9.319401322996058,0.56775934,0.10228273,986.9045,1.0,0.08951718,0.12522586,4.0,5.488249,1.8821713,2.527068,0.7290245,1179.0302,2002.792,6.8502245,0.619662,0.16842544,31.628658,1.6778895,0.0,0.5218717,0.0,29.130314,2.0217314,0.0,4.098845647207759,0.7608976863494532,13.703782428042825,0,13.703782428042825,0,1,1
79.06331829293478,9.31041817015486,1.2977668,0.097669505,987.07324,1.0,0.08539495,0.11626233,4.0,4.7023425,1.5123423,2.9221146,0.75772756,559.02,929.70654,0.60286844,0.7546281,0.119675435,31.992115,1.9459264,0.0,0.13320394,0.0,29.214638,2.2312574,0.0,6.27220663983303,0.6582653843271496,20.39945044264306,0,20.39945044264306,0,1,1
79.08128459861717,9.301435017313668,0.18278597,0.039157122,993.7147,1.0,0.08539495,0.11626233,4.0,4.7023425,1.5123423,2.8886116,0.49445596,641.7805,800.8163,0.67688787,0.690389,0.15849066,30.915663,1.0117164,0.0,0.10294175,0.0,29.357723,2.2783434,0.0,5.563863733410201,0.6772448160066552,18.19858499548916,0,18.19858499548916,0,1,1
79.10823405714076,9.301435017313668,1.1286387,0.05551967,993.69946,1.0,0.08539495,0.11626233,4.0,4.7023425,1.5123423,2.4441812,0.5787393,523.1383,823.62573,0.8033633,0.68678963,0.16069104,30.288963,0.4650892,0.0,0.102781124,0.0,29.435675,2.290169,0.0,3.059290979563627,0.8155009173973715,15.47659659896111,0,15.47659659896111,0,1,1
79.2160318912351,9.301435017313668,1.2931104,0.084674105,993.6407,1.0,0.08675048,0.11920984,4.0,4.960775,1.6339544,1.8963906,0.44975063,629.24896,1195.1578,2.1479247,0.6741693,0.17796339,30.71374,0.8673909,0.0,0.29841968,0.0,29.359354,2.1827595,0.0,9.24315116389764,0.5399870735432646,6.94472901910328,0,6.94472901910328,1,1,1
79.2339981969175,9.301435017313668,1.0895357,0.04728116,993.6312,1.0,0.08757492,0.12100255,4.0,5.117956,1.7079202,1.8963906,0.44975063,718.48755,1553.0798,2.9050267,0.6741693,0.17796339,31.82609,1.7903255,0.0,0.4432758,0.0,29.244293,2.1336048,0.0,8.806010860232242,0.5559552960887236,6.604888193256915,0,6.604888193256915,1,1,1
