lon,lat,depth,slope,distance_to_shore,shallow_mask,rain_mean,rain_std,extreme_rain,wind_mean,wind_std,chl_mean,chl_std,turb_mean,turb_std,cyclone,wave_mean,wave_std,sal_mean,sal_std,sal_shock_days,current_mean,extreme_wave_days,sst_mean,sst_var,heat_stress_freq,label,dist_to_known_cluster_km,site_prior_score,dist_to_core_zone_anchor_km,policy_core_zone_exclusion,dist_to_invasion_sensitive_km,policy_invasion_risk_flag,policy_go2005_review_required
78.18296931449765,8.906176292301076,0.026599728,0.19145517,988.80493,1.0,0.068397745,0.079790406,1.0,3.4232273,1.2530763,1.4491001,4.778001,471.3663,573.2867,0.13559505,0.9466709,0.12255108,33.12718,1.819296,0.0,0.15247601,0.0,28.830389,1.917829,413.0,0.0,100.40827573397314,0.0012384619292231066,8.290017539452563,0,121.53037910989626,0,1
79.2339981969175,9.301435017313668,1.0895357,0.04728116,993.6312,1.0,0.08757492,0.12100255,4.0,5.117956,1.7079202,1.8963906,0.44975063,718.48755,1553.0798,2.9050267,0.6741693,0.17796339,31.82609,1.7903255,0.0,0.4432758,0.0,29.244293,2.1336048,0.0,1.0,8.806010860232242,0.5559552960887236,6.604888193256915,0,6.604888193256915,1,1
79.10823405714076,9.301435017313668,1.1286387,0.05551967,993.69946,1.0,0.08539495,0.11626233,4.0,4.7023425,1.5123423,2.4441812,0.5787393,523.1383,823.62573,0.8033633,0.68678963,0.16069104,30.288963,0.4650892,0.0,0.102781124,0.0,29.435675,2.290169,0.0,1.0,3.059290979563627,0.8155009173973715,15.47659659896111,0,15.47659659896111,0,1
78.30873345427439,9.01397412639542,1.0,0.02867811,994.23,1.0,0.07260175,0.07184568,0.0,2.5474195,0.9848636,2.3238127,7.9869843,476.38428,454.53412,0.13534614,0.7904411,0.09770684,33.09619,2.3293107,0.0,0.13798523,0.0,29.117859,2.1483665,769.0,0.0,83.05761988838704,0.0039376363013021096,22.417865454823243,0,104.95170164038284,0,1
78.6500932622398,9.166687724695738,0.003082911,0.03459978,987.73596,1.0,0.06881363,0.075593345,0.0,2.9502003,1.0605574,2.340834,3.5149443,1080.2396,987.23846,0.33904222,0.5198387,0.06470135,32.95686,2.5230005,0.0,0.13697071,0.0,29.184288,2.3564873,714.0,0.0,42.060463573414374,0.060565436409891885,60.5910936576961,0,64.88111513311827,0,1
78.88365523611088,9.247536100266496,1.1285198,0.04778354,993.8308,1.0,0.07222771,0.08382086,1.0,3.4812264,1.1879356,2.7648845,3.3425603,790.0215,1538.3131,0.30607963,0.5349193,0.08405543,31.885563,1.7508582,0.0,0.09336059,0.0,29.286701,2.3211308,695.0,0.0,14.927396576121497,0.36966437790419115,38.68138906351864,0,38.68138906351864,0,1
78.14703670313287,8.591765942859244,0.5586827,0.033023067,989.6672,1.0,0.06842195,0.097602494,1.0,4.512818,1.6193554,0.85591966,3.2945805,592.7812,988.0738,0.26530993,1.1717339,0.17506859,33.0182,0.3046929,0.0,0.116024226,0.0,28.954212,1.0683442,120.0,0.0,122.08983594846583,0.00029183487957026253,27.941339442498506,0,139.65017030690962,0,1
78.16500300881526,8.798378458206734,1.072314,0.12653697,989.1086,1.0,0.068397745,0.079790406,1.0,3.4232273,1.2530763,0.9255376,2.5795138,472.81427,617.1856,0.16034171,1.0613307,0.14650857,33.501953,1.8136966,0.0,0.17085123,0.0,28.685202,1.7234098,359.0,0.0,107.5893908438946,0.0007673050968233018,6.534047873318883,0,127.52214672775942,0,1
79.01840252872881,9.346350781519645,0.79320157,0.07190027,986.9981,1.0,0.08539495,0.11626233,4.0,4.7023425,1.5123423,2.3261962,0.64771444,420.76147,486.74054,0.47144666,0.5595071,0.2640693,32.403465,2.9300725,0.0,0.034775145,0.0,29.274796,2.510203,0.0,0.0,7.448497447920649,0.608616764112541,26.52303328035127,0,26.52303328035127,0,1
79.2429813497587,9.301435017313668,1.1359433,0.05692309,993.6265,1.0,0.08798715,0.1218989,4.0,5.1965466,1.7449031,1.8963906,0.44975063,708.01465,1401.4137,3.539239,0.6741693,0.17796339,32.382267,2.2517927,0.0,0.51570386,0.0,29.186764,2.1090274,0.0,1.0,7.834977264215798,0.5931358495438401,6.651678397513625,0,6.651678397513625,1,1
