record_id,source_type,source_name,source_reference,citation_url,species,eventDate,year,lon,lat,label,coordinate_precision_km,species_confirmed,confidence_score,is_verified,qa_reviewer,qa_status,rationale,notes,p_raw,p_raw_std,p_calibrated,dist_to_pos_km,regime_bin,subregion_id
v12p_0001,satellite_digitized,v1_2_custom_positive_mining,model-guided candidate; needs manual verification,,Kappaphycus alvarezii,,,79.00941937588762,9.364317087202032,1,1.0,False,0.6666667,False,,pending,regime_diversity_candidate_v1_2,"verify_by_multidate_satellite>=3_dates,persistent_raft>=2_dates,not_port_shipping,verified_dates=YYYY-MM-DD;YYYY-MM-DD;YYYY-MM-DD",0.90262055,0.0,0.6666667,3.575536697797629,1_3_0_1,8
v12p_0002,satellite_digitized,v1_2_custom_positive_mining,model-guided candidate; needs manual verification,,Kappaphycus alvarezii,,,79.00941937588762,9.355333934360836,1,1.0,False,0.6666667,False,,pending,regime_diversity_candidate_v1_2,"verify_by_multidate_satellite>=3_dates,persistent_raft>=2_dates,not_port_shipping,verified_dates=YYYY-MM-DD;YYYY-MM-DD;YYYY-MM-DD",0.91206586,0.0,0.6666667,2.8012187079202877,0_1_1_3,0
v12p_0003,satellite_digitized,v1_2_custom_positive_mining,model-guided candidate; needs manual verification,,Kappaphycus alvarezii,,,79.01840252872881,9.355333934360836,1,1.0,False,0.6666667,False,,pending,regime_diversity_candidate_v1_2,"verify_by_multidate_satellite>=3_dates,persistent_raft>=2_dates,not_port_shipping,verified_dates=YYYY-MM-DD;YYYY-MM-DD;YYYY-MM-DD",0.9165712,0.0,0.6666667,2.219080837188699,3_0_3_0,3
