record_id,source_type,source_name,citation_url,species,eventDate,year,lon,lat,label,is_verified,qa_status,p_raw,p_calibrated,stress_count,dist_to_nearest_positive_km,feature_dist_turb_slope,shap_dominance_ratio,shap_top_feature,rationale,notes
hn_v1_1_0001,derived_hard_negative,mine_hard_negatives_v1_1,,Kappaphycus alvarezii,,,79.13316825304565,9.254280867408973,0,True,approved,0.52151626,0.64285713,2,3.1402725913611707,0.3575734528532854,0.1776883651742242,distance_to_shore,"stress_turb_high,stress_sal_shock_high",Boundary-mined hard negative; ecologically plausible but stressed.
hn_v1_1_0002,derived_hard_negative,mine_hard_negatives_v1_1,,Kappaphycus alvarezii,,,79.75300579908813,9.586657522533192,0,True,approved,0.3877264,0.64285713,2,5.781204711778429,0.42830966713318824,0.2207645812668156,distance_to_shore,"stress_turb_high,stress_sal_shock_high",Boundary-mined hard negative; ecologically plausible but stressed.
hn_v1_1_0003,derived_hard_negative,mine_hard_negatives_v1_1,,Kappaphycus alvarezii,,,79.65419111783497,9.02970204637909,0,True,approved,0.3674763,0.64285713,3,4.094554540161216,0.8834678369979014,0.4040975967419827,turb_mean,"stress_wave_std_high,stress_sal_shock_high,stress_slope_upper",Boundary-mined hard negative; ecologically plausible but stressed.
hn_v1_1_0004,derived_hard_negative,mine_hard_negatives_v1_1,,Kappaphycus alvarezii,,,79.64520796499379,9.02970204637909,0,True,approved,0.3674763,0.64285713,3,4.437451639776883,0.9689154191736106,0.4040975967419827,turb_mean,"stress_wave_std_high,stress_sal_shock_high,stress_slope_upper",Boundary-mined hard negative; ecologically plausible but stressed.
hn_v1_1_0005,derived_hard_negative,mine_hard_negatives_v1_1,,Kappaphycus alvarezii,,,79.63622481215259,9.02970204637909,0,True,approved,0.3674763,0.64285713,2,4.956507392442075,0.88604883755166,0.40413525380943527,turb_mean,"stress_wave_std_high,stress_sal_shock_high",Boundary-mined hard negative; ecologically plausible but stressed.
hn_v1_1_0006,derived_hard_negative,mine_hard_negatives_v1_1,,Kappaphycus alvarezii,,,79.57334274226422,9.065634657743871,0,True,approved,0.63732463,0.64285713,2,9.874774686089719,0.37381650408448397,0.21453325625462166,turb_mean,"stress_turb_high,stress_sal_shock_high",Boundary-mined hard negative; ecologically plausible but stressed.
hn_v1_1_0007,derived_hard_negative,mine_hard_negatives_v1_1,,Kappaphycus alvarezii,,,79.57334274226422,9.056651504902677,0,True,approved,0.359914,0.64285713,1,9.924742861384596,0.5098539601344271,0.3824710872105495,turb_mean,stress_sal_shock_high,Boundary-mined hard negative; ecologically plausible but stressed.
hn_v1_1_0008,derived_hard_negative,mine_hard_negatives_v1_1,,Kappaphycus alvarezii,,,79.57334274226422,9.038685199220286,0,True,approved,0.35861957,0.64285713,1,10.315072902026769,0.9622470920993234,0.39790590185345803,turb_mean,stress_sal_shock_high,Boundary-mined hard negative; ecologically plausible but stressed.
