lon,lat
79.00941937588762,9.355333934360836
79.01840252872881,9.346350781519645
79.01840252872881,9.355333934360836
79.00941937588762,9.364317087202032
79.73705475602442,9.130755113330958
79.7819705202304,8.501934414447293
79.76400421454801,9.0499067377602
79.71908845034204,9.06787304344259
79.71010529750085,9.08583934912498
79.74603790886562,9.6158453667555
79.71908845034204,9.08583934912498
79.75502106170681,9.624828519596694
79.00043622304642,9.364317087202032
79.64722322761247,9.517030685502352
79.74603790886562,9.49906437981996
79.14416666850555,9.265502405948885
79.26993080828228,9.31041817015486
79.7819705202304,9.0499067377602
79.74603790886562,9.508047532661156
79.75502106170681,9.66974428380267
79.72807160318324,9.06787304344259
79.7729873673892,9.579912755390716
79.7729873673892,9.642794825279084
79.71010529750085,9.06787304344259
79.75502106170681,9.0499067377602
79.7999368259128,9.678727436643864
79.7909536730716,9.696693742326255
79.33281287817064,9.301435017313668
79.20704873839391,9.292451864472472
79.71010529750085,9.076856196283789
79.71908845034204,9.076856196283789
79.12620036282316,9.301435017313668
79.2339981969175,9.247536100266496
79.16213297418793,9.265502405948885
79.19806558555271,9.27448555879008
79.74603790886562,9.606862213914305
79.74603790886562,9.597879061073108
79.0453519872524,9.319401322996058
79.05433514009358,9.247536100266496
79.69213899181845,9.06787304344259
79.2160318912351,9.247536100266496
79.19806558555271,9.265502405948885
79.75502106170681,9.130755113330958
79.28789711396466,9.229569794584105
79.00941937588762,9.25651925310769
79.12620036282316,9.247536100266496
79.74603790886562,9.0499067377602
79.19806558555271,9.292451864472472
79.17111612702912,9.301435017313668
79.2250150440763,9.31041817015486
