model,n_features,spatial_auc_mean,spatial_auc_std,spatial_ap_mean,spatial_brier_mean,oof_auc_calibrated,oof_ap_calibrated,oof_brier_calibrated,threshold,precision_at_threshold,recall_at_threshold,delta_vs_full_auc,delta_vs_full_ap
combined_deployable_full,23,0.9288095238095238,0.12261419315402192,0.9042251204677676,0.10581134594976901,0.9201465201465202,0.8050935333010805,0.09441737085580826,0.6428571343421936,0.75,0.8571428571428571,0.0,0.0
combined_deployable_no_wave,20,0.9252380952380953,0.12602055046031974,0.8918501204677675,0.10590099059045315,0.9214285714285715,0.8081446436193822,0.09677405655384064,1.0,1.0,0.37142857142857144,-0.0035714285714284477,-0.012375000000000136
