group,n,p_raw_mean,p_raw_median,p_raw_q25,p_raw_q75
positives,41,0.9522595019512194,0.970898,0.9489394,0.99001557
hard_negatives,12,0.44681482750000007,0.3674763,0.3595903925,0.5504683524999999
