record_id,source_type,source_name,source_reference,citation_url,species,eventDate,year,lon,lat,label,coordinate_precision_km,species_confirmed,confidence_score,is_verified,qa_reviewer,qa_status,rationale,notes,p_raw,p_raw_std,p_calibrated,dist_to_pos_km,regime_bin,subregion_id
rp_v1_1p1_0002,satellite_digitized,regime_positive_mining_v1_1p1,model-guided regime-stratified candidate; needs manual verification,,Kappaphycus alvarezii,,,79.74603790886562,9.49906437981996,1,1.0,False,0.6666667,False,,pending,regime_diversity_candidate,"verify_by_multidate_satellite>=3_dates,persistent_raft>=2_dates,not_port_shipping,verified_dates=YYYY-MM-DD;YYYY-MM-DD",0.9317886,0.0,0.6666667,1.399828714470158,0_2_1_2,6
rp_v1_1p1_0001,satellite_digitized,regime_positive_mining_v1_1p1,model-guided regime-stratified candidate; needs manual verification,,Kappaphycus alvarezii,,,79.71010529750085,9.08583934912498,1,1.0,False,0.6666667,False,,pending,regime_diversity_candidate,"verify_by_multidate_satellite>=3_dates,persistent_raft>=2_dates,not_port_shipping,verified_dates=YYYY-MM-DD;YYYY-MM-DD",0.9237366,0.0,0.6666667,1.9747785822213864,2_3_2_0,2
