lon,lat,p_raw,p_raw_std,p_calibrated,pred_label,priority
79.7729873673892,9.0499067377602,0.89249086,0.0,1.0,1,high
79.71908845034204,9.076856196283789,0.9693095,0.0,1.0,1,high
79.72807160318324,9.06787304344259,0.89200103,0.0,1.0,1,high
79.72807160318324,9.543980144025936,0.97303253,0.0,1.0,1,high
79.7909536730716,9.022957279236614,0.91192424,0.0,1.0,1,high
79.71010529750085,9.076856196283789,0.97049695,0.0,1.0,1,high
79.69213899181845,9.076856196283789,0.943108,0.0,1.0,1,high
79.71908845034204,9.08583934912498,0.942293,0.0,1.0,1,high
79.68315583897726,9.076856196283789,0.98269594,0.0,1.0,1,high
79.71010529750085,9.08583934912498,0.9782551,0.0,1.0,1,high
79.69213899181845,9.08583934912498,0.9608169,0.0,1.0,1,high
79.70112214465965,9.103805654807372,0.9708064,0.0,1.0,1,high
79.68315583897726,9.08583934912498,0.955081,0.0,1.0,1,high
79.69213899181845,9.094822501966176,0.96731603,0.0,1.0,1,high
79.68315583897726,9.094822501966176,0.9203426,0.0,1.0,1,high
79.7729873673892,9.112788807648569,0.99398214,0.0,1.0,1,high
79.69213899181845,9.103805654807372,0.9732563,0.0,1.0,1,high
79.72807160318324,9.112788807648569,0.97510797,0.0,1.0,1,high
79.76400421454801,9.112788807648569,0.9831992,0.0,1.0,1,high
79.75502106170681,9.678727436643864,0.9291223,0.0,1.0,1,high
79.72807160318324,9.12177196048976,0.9567727,0.0,1.0,1,high
79.71908845034204,9.112788807648569,0.9874636,0.0,1.0,1,high
79.71010529750085,9.112788807648569,0.9760524,0.0,1.0,1,high
79.76400421454801,9.12177196048976,0.9662537,0.0,1.0,1,high
79.75502106170681,9.12177196048976,0.9867295,0.0,1.0,1,high
79.74603790886562,9.12177196048976,0.9870121,0.0,1.0,1,high
79.73705475602442,9.12177196048976,0.9819474,0.0,1.0,1,high
79.76400421454801,9.678727436643864,0.93757594,0.0,1.0,1,high
79.33281287817064,9.220586641742909,0.92457634,0.0,1.0,1,high
79.36874548953543,9.211603488901714,0.9228607,0.0,1.0,1,high
79.32382972532945,9.229569794584105,0.9504373,0.0,1.0,1,high
79.34179603101184,9.229569794584105,0.9751761,0.0,1.0,1,high
79.33281287817064,9.229569794584105,0.954046,0.0,1.0,1,high
79.76400421454801,9.68771058948506,0.97295594,0.0,1.0,1,high
79.7729873673892,9.68771058948506,0.91991484,0.0,1.0,1,high
79.08128459861717,9.25651925310769,0.96771663,0.0,1.0,1,high
79.05433514009358,9.247536100266496,0.95297766,0.0,1.0,1,high
79.0453519872524,9.247536100266496,0.92068744,0.0,1.0,1,high
79.09026775145837,9.25651925310769,0.9536472,0.0,1.0,1,high
79.07230144577598,9.247536100266496,0.94832605,0.0,1.0,1,high
79.13518351566435,9.229569794584105,0.89377874,0.0,1.0,1,high
79.14416666850555,9.229569794584105,0.9118967,0.0,1.0,1,high
79.15314982134674,9.229569794584105,0.90393215,0.0,1.0,1,high
79.06331829293478,9.247536100266496,0.92430025,0.0,1.0,1,high
79.08128459861717,9.247536100266496,0.9374955,0.0,1.0,1,high
79.14416666850555,9.2385529474253,0.9019934,0.0,1.0,1,high
79.75502106170681,9.66974428380267,0.89762866,0.0,1.0,1,high
79.00941937588762,9.400249698566814,0.9267859,0.0,1.0,1,high
78.98246991736403,9.39126654572562,0.97026247,0.0,1.0,1,high
79.00043622304642,9.400249698566814,0.9495012,0.0,1.0,1,high
78.98246991736403,9.400249698566814,0.96616703,0.0,1.0,1,high
